Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
HD160089,10000.00,1328.00,18.849488,52.045879,-209570.314416,6.557900,28.079661,1.528,49.6941,2.28971,10.4998,1.90519,0,13.5216,9.7154,9.91873,2.45552
HD199190,10000.00,1328.00,22.228894,61.112923,-249399.213430,7.663648,33.575792,1.324,46.7049,1.43387,13.4548,1.78601,0,13.5957,11.0772,10.181,1.76649
HD40105,10000.00,1328.00,21.223182,58.326582,-236289.133931,7.282618,32.009212,1.257,46.2085,1.70539,12.9212,1.85938,0,14.1684,11.1565,10.1861,1.79452
HD95922,10000.00,1328.00,14.696264,40.047616,-150590.347201,4.817874,21.737815,0.740,42.6072,2.48173,7.93827,2.60378,0,20.9153,11.4913,10.3219,1.64054
HIP78242,10000.00,1328.00,20.191259,55.389004,-224051.659655,6.923513,30.348122,1.285,46.414,1.5666,12.6961,1.90757,0,14.46,10.6922,10.5812,1.68227
HD108935,10000.00,1328.00,26.113506,71.278225,-291598.635976,8.825942,39.928295,0.896,41.8837,1.41504,14.9283,1.87538,0,14.0925,12.2919,12.3142,1.19902
HD95542,10000.00,1328.00,20.295329,55.531986,-225343.157910,6.945852,30.488105,1.284,46.1341,1.73869,12.9138,1.8949,0,14.4441,10.5036,10.9878,1.38299
HD86140,10000.00,1328.00,19.644036,53.786298,-217104.971347,6.708129,29.504200,1.241,45.8981,1.70194,12.6488,1.9395,0,14.8467,10.6912,10.778,1.49565
HD223854,10000.00,1328.00,20.633037,56.634621,-233345.151874,7.203603,30.823486,1.661,49.7842,2.04818,12.2831,1.71535,0,12.4305,9.26383,10.9124,1.56239
HIP15587,10000.00,1328.00,20.412381,55.853053,-223628.190241,6.891953,30.854718,1.002,43.7187,1.49927,12.9115,2.01362,0,15.8192,11.9088,10.6748,1.45419
HD20003,10000.00,1328.00,20.689100,56.736044,-230339.792749,7.100553,31.137774,1.293,46.3579,1.49243,13.0234,1.87565,0,14.2194,10.7215,10.6936,1.61607
HIP36347,10000.00,1328.00,39.214378,107.836035,-468620.385888,13.899965,60.446124,1.665,48.4468,0.846038,18.1046,1.10266,0,8.43005,11.5592,10.4697,1.04087
HD131218,10000.00,1328.00,19.819936,54.344656,-220140.792331,6.812137,29.696369,1.356,47.0547,1.87587,12.3372,1.89972,0,14.2104,10.2052,10.7808,1.63617
BD-060904,10000.00,1328.00,20.100031,54.985353,-222261.457228,6.845742,30.268155,1.182,45.2024,1.64957,13.0356,1.93119,0,14.8938,10.9843,10.9219,1.38135
HD97037,10000.00,1328.00,22.022754,60.292164,-246391.915069,7.547170,33.263905,1.257,45.7304,1.55144,13.7161,1.81534,0,13.9156,10.988,10.9448,1.33822
HD54521,10000.00,1328.00,21.614623,59.230268,-240532.164976,7.397811,32.591213,1.239,45.7693,1.57291,13.2304,1.87191,0,14.3133,10.9848,10.7501,1.50727
HD191902,10000.00,1328.00,25.812730,70.578133,-293577.381739,8.890110,39.259306,1.293,45.612,1.15273,15.2188,1.65448,0,12.7055,11.251,11.372,1.03352
