Star,Mass
HD72769,1.778841
HD73121,3.02964
HD73256,2.735944
HD73267,
HD73524,2.752771
HD73583,2.127842
HD74014,1.9418
HD7449,3.062117
HD74698,2.360341
HD74957,1.619137
HD750,2.293643
HD75289,4.697583
HD75328,2.528484
HD75530,
HD75745,
HD75881,2.803306
HD76151,1.541582
HD76188,
HD76440,7.328526
HD77110,
HD78429,2.719517
HD78538,2.410314
HD78558,
HD78612,
HD78747,
HD78964B,1.931792
HD79601,
HD8038,2.351864
HD80883,1.680403
HD81639,1.688484
HD81700,1.479089
HD81767,2.231659
HD82114,5.82105
HD82342,
HD82516,2.675637
HD82783,
HD82943,2.474207
HD8326,3.486142
HD83443,
HD83529,3.446314
HD8389A,
HD8406,1.720823
HD84305,2.446123
HD84627B,1.722324
HD85119,2.442113
HD8535,2.668584
HD85390,1.0929
HD85512,2.766242
HD85725,4.025691
HD86065,4.313727
HD86140,1.780955
HD86171,1.510508
HD8638,
HD86652,2.30003
HD870,1.492964
HD87320,
HD87521,4.561756
HD87838,
HD88084,2.06381
HD88218,
HD8828,2.12697
HD88474,5.593897
HD8859,2.463717
HD88656,1.349001
HD88725,
HD88742,2.416496
HD88885,1.784127
HD8912,1.974525
HD89147,1.684243
HD8930,1.834693
HD89454,2.191914
HD89668,1.817499
HD89749,2.187973
HD89839,3.309844
HD8985,3.365688
HD89920,1.793258
HD89965,2.092625
HD90081,1.050817
HD90133,1.572582
HD90156,2.620512
HD90422,
HD90702,1.746203
HD90711,
HD90722,1.933493
HD90812,
HD90926,1.858703
HD90936,3.2155
HD91267,1.460114
HD91345,1.996333
HD91379,1.883152
HD9246,1.404907
HD92547,
HD92588,1.125398
HD92719,2.157943
HD92788,2.19365
HD93083,
HD93351,2.96342
HD93380,3.5141
HD93385,2.403137
HD93745,3.559603
HD93932,
HD94151,1.493596
HD94444,
HD94771,2.097319
HD94964,
HD95456,3.509472
HD95521,2.763027
HD95533,1.866536
HD95542,2.497445
HD9578,2.728997
HD95860,
HD95922,0.713665
HD9608,1.368915
HD96116,2.562196
HD96276,3.093151
HD96290,5.506266
HD96423,2.116724
HD96673,2.565851
HD967,
HD96700,2.08492
HD97037,2.518962
HD97343,
HD97783,
HD9782,2.081696
HD9796,
HD97998,2.293891
HD98281,
HD98284,
HD98356,1.693695
HIP102025,2.482693
HIP102964,5.111334
HIP103867,5.763568
HIP104856,0.528615
HIP105506,2.719185
HIP10741,
HIP108216,
HIP109149,3.004067
HIP109421,1.834848
HIP113596,2.610445
HIP116374,5.95497
